id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
548	atm/ocean structure/phenomena	-1.063	-0.4142	12	42	69	5	2015.8	9.2	0.7221
580	auto-regression	-0.2571	-0.3379	4	198	1449	66	2017.2576	11.5	1.2667
616	availability	-0.427	-0.1119	4	48	89	5	2018	2.8	0.3992
619	average model	0.4099	0.5159	3	52	100	5	2018.4	6.8	2.7777
654	backstepping	0.8489	0.559	3	59	194	10	2016.5	6	0.6501
673	bagging	-0.7054	-0.5526	4	55	108	5	2018.4	3.8	0.8687
682	bandgap	-0.8433	0.7986	2	146	1707	119	2016.9328	24.4958	2.2848
703	bat	-0.1126	0.5161	5	68	130	7	2017.5714	8.4286	1.2655
705	battery	0.355	-0.3385	1	743	24543	1240	2017.0879	10.3315	1.1143
707	battery aging	0.7919	-0.7475	10	53	107	5	2018.8	1	0.1253
710	battery bank	0.8304	-0.1946	7	82	173	8	2016.5	18.625	1.8241
712	battery charge	0.6707	-0.0818	10	87	275	15	2016.4667	2.2	0.2344
721	battery degradation	0.2227	-0.6856	1	67	141	6	2018	13.3333	1.7896
731	battery energy storage	0.7921	-0.2435	10	102	420	19	2017.8421	2.7368	0.4752
732	battery energy storage system	0.449	-0.6977	1	169	1093	47	2017.6596	4.8511	1.1956
733	battery energy storage systems	0.548	-0.3223	3	95	284	12	2017.9167	2.25	0.3526
740	battery model	-0.2285	0.0027	5	52	101	5	2018.8	2.8	0.8085
752	battery storage	0.2896	-0.4852	1	186	1004	48	2016.8333	15.5	1.7025
755	battery storage system	0.888	-0.5711	10	90	262	11	2017.9091	5.4545	1.1195
764	bayesian	-0.6015	-0.3355	4	96	282	16	2017.1875	7.1875	1.1324
778	bee pollinator	0.7015	0.3115	6	50	74	5	2015.2	37.2	3.4448
783	behind-the-meter	0.0427	-0.4971	4	73	168	8	2018.5	6.125	1.853
789	bems	-0.316	-0.99	1	57	118	5	2018.2	21.8	3.4616
799	bess	0.4887	-0.5762	1	329	3820	167	2017.5629	6.1976	0.9741
833	bidirectional converter	1.2021	0.086	10	65	170	8	2016.25	9.125	0.5856
835	bidirectional dc-dc converter	0.9013	-0.3889	10	50	101	5	2017.2	1.6	0.1405
841	bifacial	-0.7251	0.7646	2	56	143	8	2018	5.875	0.7795
852	bifurcation	0.4752	0.8343	3	46	131	7	2017.1429	7.1429	0.5878
858	big data	-0.3863	-0.4543	4	129	373	17	2017.5294	5.5882	1.2566
883	biogas	-0.007	-0.2422	7	58	116	6	2018.5	5.6667	1.4501
892	biomass	0.015	-0.3343	7	113	383	19	2017	12.6842	1.5852
903	bipv	-0.8972	0.012	2	223	2182	113	2017.3097	10.9115	1.6819
907	bipv/t	-0.9341	-0.0679	2	109	581	29	2017.2069	16.6552	3.0368
911	bists	-1.0037	-0.1118	2	71	314	16	2017.1875	20.875	4.1143
929	bms	0.608	-0.2332	10	63	134	7	2016.7143	2.8571	0.6816
937	bond graph	0.7658	0.3684	6	57	126	7	2018.1429	1.4286	0.4172
940	boost	0.2993	0.8218	3	78	236	13	2016.7692	6.3077	0.5727
944	boost converter	0.6229	0.6806	3	218	1869	98	2016.7857	3.551	0.3404
945	boost dc-dc converter	1.1485	0.226	3	57	117	6	2017.8333	2.1667	0.4306
948	boost inverter	0.8257	0.7048	3	48	100	5	2016.4	3.8	0.3334
1002	bss	0.5145	-0.5987	10	205	1522	68	2017.3971	7.5588	0.957
1007	buck boost	0.7967	0.5572	3	111	473	22	2017	6.2727	0.9421
1010	buck boost converter	0.8265	0.5069	3	113	452	22	2017.1818	5.6364	0.594
1014	buck converter	0.5602	0.497	10	85	278	16	2017.4375	2.4375	0.3342
1020	building	-0.5049	-0.2888	1	558	12874	678	2017.1667	9.2507	1.22
1042	building envelope	-1.2089	-0.0933	2	50	118	6	2018	1	0.306
1045	building information modeling	-0.8139	-0.6577	1	61	208	11	2017.6364	5.3636	0.4754
1097	business model	-0.1138	-0.8223	1	90	298	21	2017.7143	11.8095	1.5451
1104	bypass diode	-0.1143	0.8494	5	87	399	22	2016.9545	2.1818	0.2306
1118	calculation	0.2106	0.4539	8	89	247	14	2017.0714	5.7143	0.5617
1148	capacity	0.3627	-0.5619	6	237	1728	90	2017.2667	4.6556	0.5844
1159	capacity factor	0.049	-0.0279	9	60	140	8	2018.375	5.25	0.6201
1166	capacity optimization	0.8659	-0.6986	10	61	125	5	2017.4	7.2	0.5046
1180	carbon	-0.245	-0.5459	1	376	4930	265	2017.4113	10.766	1.5186
1190	carbon emission	-0.3778	-0.658	1	50	93	5	2016.6	11.2	1.0975
1223	cascaded h-bridge	1.1639	-0.0174	3	44	125	7	2017.5714	8.2857	1.0973
1240	cavity receiver	-1.057	0.513	2	44	92	6	2016.6667	8.5	0.638
1243	cchp	-0.6038	-0.6653	1	72	187	9	2017.6667	15.8889	2.2645
1254	cdte	-0.7738	0.4508	2	67	205	14	2017	2.7143	0.305
1263	cell	-0.4373	0.6587	2	510	13408	816	2016.712	13.9645	1.2775
1268	cell temperature	-0.8408	0.3967	2	68	192	9	2017.6667	5.1111	0.5361
1299	centrifugal pump	0.5031	1.1482	3	55	172	9	2017.4444	0.3333	0.0758
1307	cfd	-1.1376	0.4158	2	150	1297	74	2017.0811	9.3919	1.2232
1310	cfd modeling	-1.0876	0.3291	9	46	103	6	2016.5	6.1667	0.8166
1311	cfd simulation	-1.2972	0.4059	2	45	94	5	2018.6	3	1.0128
1333	chaos	0.3672	0.6278	3	45	89	5	2016.6	2.2	0.2013
1352	characteristics	-0.2264	0.7412	8	75	197	12	2016.5	10.5833	0.8522
1356	characteristization	-0.094	0.3103	5	892	27658	1575	2016.9746	7.8356	0.9244
1357	characterization	-0.0966	0.8699	5	197	1468	76	2017.1447	10.1053	1.2283
1362	charge	0.401	-0.1912	10	229	1588	81	2017.1358	5.8272	1.0372
1376	charging	0.3161	-0.2829	10	581	12504	666	2017.0811	14.2462	1.3134
1400	china	-0.2027	-0.5489	1	58	133	9	2017.3333	12.1111	1.8613
1411	chp	-0.0951	-0.5393	1	93	270	13	2017.5385	12	1.5413
1420	cigs	-0.6682	0.6454	2	61	168	12	2017.3333	0.9167	0.0938
1423	circuit	0.0505	0.5795	5	181	846	48	2016.25	14.2292	1.1055
1460	classification	-0.3568	-0.1192	4	262	2595	132	2017.4773	16.5303	1.9552
1488	clearness index	-0.3807	0.0661	4	93	258	13	2017.0769	7.3077	1.7447
1489	climate	-0.7292	-0.4027	12	159	862	50	2017.34	8.64	1.4499
1490	climate change	-0.6948	-0.512	12	103	471	26	2017.4615	11.0769	1.3731
1497	climate model	-1.0336	-0.4056	12	42	82	5	2016	7.4	0.5711
1520	cloud	-0.644	-0.2147	4	172	900	50	2017.36	6.9	0.9256
1557	clustering	-0.1655	-0.3694	4	311	3641	190	2017.5421	6.9368	1.0358
1566	cmc	0.5419	0.5616	3	35	69	5	2017.2	1.4	0.2205
1573	cnn	-0.6355	-0.4789	4	130	707	36	2018.9444	6.6667	2.3438
1578	co-simulation	0.5265	0.2146	6	70	160	9	2017	7.2222	0.6827
1582	co2 emission	-0.2214	-0.4761	1	76	153	8	2016.875	14.875	1.525
1590	coal	-0.4636	-0.4396	2	49	101	5	2017.6	16	2.8535
1594	coating	-0.8911	0.6407	2	123	649	39	2017.7436	7.9487	1.6665
1604	cogeneration	-0.7531	0.0126	2	67	122	5	2017.6	4	0.686
1619	collector	-1.1151	0.1869	2	67	189	10	2017.4	19.9	3.1212
1645	combined heat and power	-0.3292	-0.4562	1	88	295	13	2016.6923	18.8462	2.3357
1660	commercial building	0.1534	-0.5219	11	64	123	6	2017.5	10	1.083
1684	community	-0.072	-0.7812	1	92	288	16	2018.1875	7.375	1.3351
1704	comparison	-0.7148	0.1404	12	45	75	5	2018	14.6	2.0276
1717	complex	-0.4514	-0.1526	4	96	283	15	2017.0667	12.2	0.7899
1730	component	-0.0236	0.622	3	80	183	12	2017	3	0.2815
1744	compound parabolic concentrator	-1.1406	0.4578	2	42	82	5	2017.4	15.4	2.3699
1747	compressed air energy storage	0.2901	-0.7515	1	54	101	5	2016.8	22.4	1.8936
1757	computational fluid dynamics	-1.0466	0.474	2	82	299	17	2017.2353	12.3529	1.4062
1762	computational modeling	-0.098	0.3929	11	64	124	8	2017	5.75	0.6208
1794	concentrator	-0.5951	0.839	2	53	89	5	2017.8	2.2	0.3169
1795	concentrator photovoltaic	-0.8896	0.7194	2	84	313	17	2017	8.2353	0.893
1805	condition	-0.188	0.6636	5	146	629	33	2017.6061	10.4848	1.2363
1807	condition monitoring	0.0719	0.6577	8	63	114	6	2018.1667	2.1667	0.2097
1854	consumer	-0.1937	-0.6934	1	60	137	9	2018.2222	8.8889	1.3163
1862	consumption	-0.0903	-0.2949	9	47	75	5	2018.6	0.6	0.0623
1897	control	0.4787	0.1105	3	933	46144	2489	2016.9245	6.9888	0.8145
1914	control system	0.4215	-0.0105	11	66	126	7	2018	5.4286	0.6026
1929	controller	0.808	0.4485	3	292	3165	158	2017.0886	7.2152	0.7553
1930	controller design	1.0492	0.0591	3	58	119	6	2017.1667	10.5	2.4222
1947	conversion efficiency	-0.779	0.8103	2	73	219	13	2017.3846	1.8462	0.2594
1949	converter	0.6221	0.4409	3	631	22129	1188	2016.7761	6.4057	0.642
1953	converter control	1.0486	-0.0212	9	58	138	8	2014.875	2.375	0.1973
1966	converters	0.7704	0.2547	11	69	167	9	2016.7778	4.3333	0.3398
1972	cooling	-0.8264	0.0245	2	354	5542	290	2017.2379	10.3862	1.5276
1999	coordinated control	0.7825	-0.6434	6	75	216	9	2017.1111	6.3333	0.6586
2003	coordination	0.764	-0.6273	6	98	364	17	2016.6471	5.7059	0.5981
2018	correction	0.034	0.2145	4	411	4668	273	2017.0037	7.7985	0.9011
2020	correlation	-0.4473	-0.0265	4	469	7113	396	2017.1515	8.8005	0.9976
2037	cost	0.0704	-0.42	7	249	1635	85	2016.9647	14.1059	1.6593
2039	cost analysis	-0.4684	-0.0869	7	61	104	5	2016.8	5.2	0.4886
2045	cost function	0.8054	0.2414	3	56	102	5	2018.4	6	0.4205
2050	cost of energy	-0.0404	-0.4757	7	58	148	8	2015.875	30.25	1.8748
2052	cost optimization	-0.3345	-0.7274	1	58	103	5	2017.4	6.6	1.7076
2076	coupled inductor	0.9204	0.7622	3	50	107	6	2017.8333	3.8333	0.398
2089	cpc	-1.1941	0.267	2	52	153	8	2017.25	16.375	1.8517
2095	cpv	-0.891	0.5226	2	190	1966	104	2017.2115	9.7019	1.4782
2099	cpv/t	-0.9921	0.3284	2	91	430	20	2018.65	8.9	3.0584
2144	csp	-0.7853	-0.0025	2	106	473	25	2016.96	13.76	1.5566
2160	cuckoo search	-0.1144	0.3537	5	87	252	12	2017.5	11.6667	2.0431
2163	cuk converter	0.6748	0.7574	3	61	193	10	2016.7	1.8	0.1523
2176	current control	0.6457	0.7235	3	51	117	7	2017.2857	4	0.4976
2198	current source inverter	1.2016	0.3929	3	44	100	6	2016.6667	3.1667	0.9447
2215	curtailment	0.3722	-0.8026	6	53	102	6	2016.5	1.8333	0.2536
2222	curve fitting	-0.2443	0.4274	5	59	131	7	2017	3.5714	0.2968
2244	cvar	0.136	-0.9734	1	60	133	7	2016.8571	14.2857	1.5801
2247	cvr	0.6803	-0.3004	6	52	95	5	2016.2	1.8	0.1567
2252	cyber-physical system	0.3568	0.4909	3	54	98	6	2017.5	2	0.6257
2305	data	-0.2976	0.0039	4	949	46567	2600	2017.1542	8.5842	1.0705
2326	data mining	-0.6869	-0.7908	4	76	218	12	2017.6667	3.25	1.0036
2358	database	-0.2819	-0.1573	4	295	2467	132	2017.2424	5.7273	0.7892
2375	day-ahead forecasting	-0.5521	-0.7639	4	48	94	5	2017.4	7.2	2.0214
2376	day-ahead market	0.1619	-1.0333	1	57	121	6	2017.8333	1	0.1138
2379	day-ahead scheduling	0.4805	-0.3731	6	54	99	5	2017.2	14.6	1.5084
2399	dc bus	0.8193	0.0271	3	70	139	6	2017.3333	2.1667	0.2101
2419	dc microgrid	0.7292	-0.3262	3	140	705	33	2017.5758	7.9091	1.064
2449	dc-ac power conversion	0.967	0.6575	3	52	122	7	2016.5714	14.5714	1.047
2458	dc-dc boost converter	0.6564	0.7858	3	113	548	27	2016.3704	7.8148	0.6269
2465	dc-dc converter	0.4594	0.4471	3	188	1402	72	2017.0556	8.8889	0.9768
2471	dc-dc power conversion	0.4368	0.7914	3	59	125	6	2016.8333	29.5	3.0052
2472	dc-dc power converter	0.6392	0.2473	11	82	264	13	2016.0769	5.9231	0.464
2489	dc/dc converter	0.0527	0.7615	5	113	400	19	2017.5263	3.2632	0.5124
2518	decarbonization	-0.0064	-0.8875	1	44	104	5	2017.8	18.2	2.1702
2523	decentralized control	1.0226	-0.3314	6	54	125	7	2017.1429	13.2857	1.1491
2570	deep learning	-0.2526	-0.2161	4	893	36430	1856	2017.2759	9.6778	1.21
2591	degradation	0.0436	-0.2011	1	163	739	43	2017.4419	10.0233	1.2346
2608	demand	0.1808	-0.2754	9	53	90	5	2016.8	6.2	0.5425
2616	demand response	0.1073	-0.8879	1	189	1445	70	2017.5286	18.0429	2.1895
2619	demand response program	0.5104	-0.7943	1	69	228	11	2017.9091	32.9091	3.3482
2623	demand side management	-0.0587	-0.8106	1	113	358	17	2016.6471	9.9412	1.1045
2639	density functional theory	-0.9669	0.4099	2	37	85	6	2016.6667	13.8333	1.2788
2659	der	0.6469	-0.3573	6	70	177	9	2017.4444	1.5556	0.2584
2669	desalination	-0.7298	0.2692	2	61	148	9	2018.4444	4	1.3695
2681	design	0.0044	0.2064	2	949	38265	2120	2017.0222	9.2066	1.1256
2685	design method	1.2696	-0.0988	3	43	91	5	2016.6	10.2	1.2271
2689	design optimization	-0.7653	-0.5396	2	64	144	7	2015.5714	38.1429	2.8794
2703	detection	-0.0029	0.2976	4	311	3435	183	2017.4153	10.0765	1.2538
2719	device	-0.2796	0.4057	2	93	230	15	2017	4.2667	0.5579
2721	device modeling	-0.8146	0.7559	2	64	152	9	2017.1111	8.7778	2.0744
2724	dfig	1.0276	0.3341	7	58	136	6	2016.8333	3.1667	0.4257
2726	dg	0.6417	0.0465	6	82	218	11	2016.6364	5.5455	0.8423
2738	diabatic heating	-1.17	-0.5016	12	33	68	5	2017.2	7.8	0.8382
2740	diabatic processes	-1.1362	-0.4284	12	39	119	9	2017.2222	5.7778	0.6024
2743	diagnosis	-0.329	0.3013	4	208	1501	85	2017.3059	8.3412	1.0351
2759	diesel	0.4154	-0.0498	6	70	164	8	2016.875	9	1.2258
2764	diesel generator	0.386	-0.2227	1	104	327	17	2016.2941	14.7647	0.9397
2774	differential evolution	-0.1391	0.4321	5	86	201	10	2015.4	20.5	1.5952
2806	digital control	0.8084	0.6827	3	58	167	9	2015.8889	13.1111	1.236
2819	digsilent	0.6314	-0.1436	6	57	96	6	2017.3333	2.3333	0.2312
2831	diode	-0.106	0.8062	5	393	8156	464	2016.8922	9.8685	1.1615
2834	diode model	-0.3544	0.8054	5	63	103	5	2017.2	12.2	0.6612
2848	direct current	0.195	-0.3149	11	46	112	6	2017	17.3333	1.3396
2852	direct normal irradiance	-0.2642	0.2803	9	54	117	8	2016.875	2	0.2016
2853	direct power control	0.7776	0.4209	3	38	88	5	2015.6	7.8	0.646
2874	discharging	0.4271	-0.4425	10	344	4159	204	2017.1667	7.6078	0.8468
2875	discontinuous conduction mode	0.6155	0.6028	5	43	89	5	2017.8	3	0.6332
2923	distributed	0.2769	0.6354	3	57	146	6	2015.5	50.8333	5.7683
2931	distributed control	0.5779	-0.387	6	71	163	8	2018.375	7.75	1.307
2941	distributed energy	0.2308	-0.4825	6	332	3943	187	2017.0909	9.5829	1.1622
2943	distributed energy resource	0.1144	-0.6184	6	176	1076	46	2017.2826	10.2609	1.3839
2944	distributed energy resources	0.1662	-0.6907	10	67	131	6	2017.8333	9.1667	1.6778
2949	distributed energy system	-0.5168	-0.6868	2	71	150	7	2017.1429	14.2857	1.7197
2950	distributed generation	0.4847	-0.2895	6	483	7861	386	2017	7.7435	0.9516
2964	distributed generator	0.9283	0.0259	3	64	133	7	2016.7143	0.4286	0.0499
2965	distributed generators	0.8847	-0.2392	12	65	188	10	2016.5	10.7	0.7659
2979	distributed photovoltaic	0.2083	-0.0945	3	58	108	6	2019.3333	1	1.8302
2985	distributed power generation	0.6987	-0.2473	6	129	699	31	2016.6452	12.8065	0.972
3010	distributed system	0.5502	-0.7858	1	50	84	5	2017	13	0.8322
3012	distribution	0.3638	-0.289	6	706	18581	944	2017.1525	7.7447	0.9563
3017	distribution generation	-0.4325	0.3805	4	58	127	7	2017.4286	3.4286	0.3868
3020	distribution grid	0.7199	-0.5418	6	82	216	10	2016.5	13.3	2.0495
3029	distribution network	0.4808	-0.4513	6	173	982	53	2017.1509	6.0943	0.9952
3041	distribution system	0.6044	-0.3104	6	157	759	42	2017.2381	3.4524	0.4551
3044	distribution system modeling	0.7174	-0.593	6	54	113	7	2016.4286	1.4286	0.1874
3076	dmppt	0.499	0.4763	3	44	91	5	2017.6	4.8	0.4343
3100	domestic hot water	-0.4908	-0.1411	2	74	168	8	2016.75	11.5	1.7648
3115	double diode model	-0.1698	0.9195	5	82	403	21	2016.9048	15.1905	2.0427
3129	double-diode model	-0.0916	1.116	5	60	202	11	2017.7273	35.7273	6.0078
3170	droop control	0.996	-0.2567	6	78	226	13	2017.8462	4.3077	0.5555
3186	dspace	0.6404	0.6401	3	70	175	9	2016.5556	3.5556	0.3154
3229	dust accumulation	-0.4138	0.5323	4	55	132	7	2018.2857	10.4286	1.1645
3231	dust deposition	-0.6838	0.2011	2	63	150	10	2018.4	4.4	1.5003
3241	duty cycle	0.0682	1.0846	5	50	100	5	2017.2	5.4	0.3416
3292	dynamic model	0.2182	0.4013	5	113	366	19	2016.1053	6.4211	0.604
3293	dynamic modeling	-0.3783	-0.0225	2	138	608	30	2016.5333	7.4	1.1243
3309	dynamic programming	0.3318	-1.0268	1	87	234	11	2017.6364	4.5455	0.7975
3319	dynamic simulation	-0.4836	-0.1991	2	107	367	18	2017.6667	8.9444	1.811
3343	dynamics	-1.061	-0.4705	12	57	102	8	2016.625	7.25	0.6297
3372	echo state network	-0.4094	-0.435	4	67	137	7	2017.2857	4.5714	0.9389
3384	economic analysis	-0.2417	-0.058	2	114	391	20	2017.1	7.2	1.5523
3391	economic dispatch	0.1611	-1.1498	1	70	198	11	2017.0909	2.6364	0.4431
3407	economic model predictive control	0.5566	-1.0187	1	48	126	6	2018.3333	4.1667	1.3227
3422	economics	-0.2201	-0.9077	1	54	112	7	2016.7143	22	2.033
3444	efficiency	-0.3106	0.2627	2	888	32313	1787	2017.0823	10.6928	1.2065
3501	electric power system	0.0973	-0.403	1	79	143	7	2016.5714	17.7143	1.6494
3510	electric vehicle	0.2311	-0.6302	1	176	926	48	2017.3333	9.3542	1.4413
3522	electric vehicles	0.2922	-0.6969	1	156	784	40	2017.175	11.275	1.188
3535	electrical characterization	-0.3003	1.0866	2	58	132	6	2016.8333	11.3333	1.109
3543	electrical efficiency	-1.0352	0.3339	2	77	249	12	2017.5	3.5833	1.155
3561	electrical model	-0.647	0.7279	2	72	169	8	2017.5	7	0.8606
3584	electricity	-0.4071	-0.7533	1	98	278	14	2017.5	11.4286	1.3299
3586	electricity consumption	-0.2635	-0.5072	4	58	98	6	2017.1667	14.6667	2.1245
3592	electricity demand	-0.1156	-1.0875	1	54	89	5	2016.6	4	0.3951
3604	electricity market	-0.0366	-0.931	1	62	123	6	2017.6667	5.3333	1.2969
3652	electrolyser	0.4224	0.4063	10	57	101	6	2016.3333	12	0.9156
3653	electrolysis	-0.3149	0.3491	9	51	126	7	2017	16.7143	1.6873
3654	electrolyzer	0.4395	0.0525	9	100	455	24	2016.0417	12.125	1.0251
3709	elman	0.1869	-0.2135	3	84	237	11	2018	3.6364	0.4765
3710	elman neural network	0.2716	-0.1335	3	71	138	6	2017.5	5.6667	0.7698
3734	emission	-0.2406	-0.582	1	147	498	26	2016.8846	10.7692	1.1727
3745	empirical mode decomposition	-0.8924	-0.6024	4	49	85	5	2017	11.6	1.6184
3746	empirical model	-0.2901	0.4607	8	72	172	10	2017.6	8.9	1.6341
3769	energy	-0.0367	-0.133	1	1099	88421	4794	2017.116	9.1865	1.1102
3771	energy analysis	-0.9089	-0.1947	2	58	154	8	2018.125	9.375	1.7874
3784	energy balance	-1.1166	0.5353	2	63	119	7	2017.7143	3.4286	0.3916
3795	energy consumption	0.0251	-0.3567	11	119	352	18	2017.6667	4.6111	0.5321
3801	energy conversion	-0.6269	0.3918	2	102	395	20	2017.75	5.35	0.8342
3820	energy efficiency	-0.5732	-0.1848	2	189	1125	55	2017.2364	10.6727	1.2665
3842	energy harvesting	-0.0298	0.4569	11	128	620	33	2016.7273	22.7576	2.1259
3846	energy hub	-0.1363	-0.9224	1	76	196	10	2017.8	12.5	1.9675
3867	energy management	0.2711	-0.5788	1	234	2069	94	2017.4468	12.9787	1.7037
3874	energy management system	0.2583	-0.555	1	192	1018	46	2017.4565	7.2174	1.2997
3877	energy market	-0.3925	-0.6342	4	59	102	5	2016.4	2.4	0.4293
3884	energy modeling	-0.6798	-0.4021	1	117	405	24	2016.875	6.625	0.7883
3897	energy performance	-0.6933	0.2332	2	91	300	14	2017.1429	11.7857	1.525
3901	energy planning	-0.1528	-0.8717	1	58	126	6	2017.3333	17.1667	2.6424
3905	energy policy	-0.286	-0.8965	1	107	334	20	2017.3	14.45	1.522
3912	energy production	-0.6856	0.0685	9	49	94	5	2016.6	7.2	0.6969
3931	energy scenarios	-0.3924	-0.9179	1	50	84	5	2018.4	7.6	1.3115
3939	energy simulation	-1.0995	-0.1394	2	39	84	5	2017	21.6	2.2245
3941	energy storage	0.387	-0.5307	1	286	2464	122	2016.959	10.377	1.2601
3953	energy storage sizing	0.5796	-0.6927	6	57	112	5	2016	14.6	2.1988
3955	energy storage system	0.224	-0.7188	1	168	917	41	2017.6341	11.7561	1.2337
3964	energy system	-0.1669	-0.7781	1	79	196	10	2017.2	7	0.9536
3965	energy system analysis	-0.3775	-1.0024	1	45	101	5	2015.6	18	1.6323
3969	energy system model	-0.5268	-0.8752	1	47	104	6	2016.6667	22.6667	2.2279
3970	energy system modeling	-0.1219	-0.7907	1	90	359	20	2016.65	30.75	3.523
3982	energy transition	-0.1815	-1.0634	1	50	125	7	2017	23.1429	4.8891
3990	energy yield	-0.7085	0.8377	2	90	320	18	2016.3889	11.1111	0.9584
4003	energyplan	-0.1564	-0.9497	1	48	137	7	2018.2857	13.4286	3.4705
4004	energyplus	-0.7753	-0.6124	1	65	137	7	2016.4286	8.4286	0.8144
4030	ensemble	-0.5088	-0.3775	4	285	2564	130	2017.9615	10.0692	1.3658
4058	envelope	-1.1739	-0.0879	2	59	156	8	2017.5	1.125	0.2555
4062	environment	-0.8189	-0.1639	2	53	94	5	2017	9.2	0.6401
4077	environmental impact	-0.1126	-0.469	4	58	100	6	2016.3333	11.3333	1.2781
4099	equivalent circuit	-0.0313	0.859	5	63	165	9	2015.8889	20.7778	1.5412
4111	equivalent modeling	-0.0156	0.7213	8	51	95	5	2015	2.4	0.1358
4124	error analysis	-0.9409	-0.4856	12	65	111	6	2017.6667	18.8333	2.0608
4138	ess	0.3891	-0.4836	1	467	7777	363	2017.4325	9.1653	1.2272
4142	estimation	-0.174	0.0926	4	560	9927	533	2017.2289	9.6004	1.2173
4175	evaluation	-0.1822	0.0182	2	561	7967	430	2017.2442	8.6419	1.1484
4185	evolutionary algorithm	-0.0532	-0.376	1	153	608	30	2017.3333	17.2333	2.8844
4204	exergy	-0.6309	-0.0739	2	110	483	25	2017.32	10.32	1.5243
4205	exergy analysis	-0.9648	-0.031	2	72	238	12	2017.5833	16.4167	2.2914
4208	exergy efficiency	-1.0614	-0.2113	2	49	92	5	2017.8	21.8	2.502
4223	experiment	-0.2145	0.4108	2	818	27055	1573	2016.9962	9.8595	1.1685
4224	experimental	-0.5511	1.0459	5	52	133	7	2016.5714	16.5714	1.3068
4225	experimental analysis	-1.0468	0.4245	2	49	120	6	2017.5	12.5	1.2655
4245	experimental validation	-0.8679	0.3476	2	64	149	8	2017.625	12.25	1.1682
4254	explicit model	-0.2367	1.033	5	62	166	9	2016.7778	16.2222	1.4791
4274	extraction	0.0755	0.5159	5	559	10435	550	2017.0891	8.6836	1.0545
4280	extratropical cyclones	-1.1383	-0.4921	12	53	153	12	2017.1667	8.25	0.8677
4285	extreme learning machine	-0.4438	-0.3749	4	109	438	23	2018.1304	5.4783	0.6183
4299	facade	-0.988	0.0045	2	141	962	48	2017.0417	9.8333	1.0336
4305	failure	0.2507	0.4744	5	129	571	33	2017.4242	8.7576	1.1373
