author,year,journal,title,keywords,doi,is_bipv,is_shadow,is_ml,is_dl,is_nn,is_cnn,is_rnn
Lashab A.,2020,IEEE Trans Ind Electron,"Dual-Input Quasi-Z-Source PV Inverter: Dynamic Modeling, Design, and Control","['analysis', 'parameter', 'MPPT', 'converter', 'algorithm', 'power', 'photovoltaic  power system', 'shadow', 'efficiency', 'photovoltaic', 'mpp', 'system', 'MPP', 'mppt']",10.1109/TIE.2019.2935927,0,1,0,0,0,0,0
Zhang Z.,2020,Renew. Energy,The mathematical and experimental analysis on the steady-state operating temperature of bifacial photovoltaic modules,"['reliability', 'roof', 'temperature', 'mechanism', 'power', 'operating temperature', 'experiment', 'performance', 'photovoltaic', 'solar cell', 'module', 'wind', 'simulation', 'bifacial pv module', 'analysis', 'model', 'heat', 'ground reflectivity', 'irradiation', 'cell', 'thermal', 'design']",10.1016/j.renene.2020.03.121,0,0,0,0,0,0,0
Ni Z.,2020,IEEE Trans Power Electron,Overview of real-time lifetime prediction and extension for SiC power converters,"['reliability', 'online', 'converter', 'temperature', 'power', 'accelerated lifetime test', 'aging', 'model', 'temperature-sensitive electrical parameter', 'active thermal control', 'efficiency', 'Silicon', 'silicon carbide  mosfet', 'system', 'measurement', 'transformer', 'mechanism', 'failure mode', 'optimization', 'remaining useful lifetime', 'transform', 'control', 'genetic algorithm', 'photovoltaic', 'ageing indicator', 'condition monitoring', 'parameter', 'algorithm', 'lifetime modeling', 'modeling', 'monitoring', 'prediction', 'thermal', 'lifetime control', 'accelerated test']",10.1109/TPEL.2019.2962503,0,0,0,0,0,0,0
Sohani A.,2020,Renew. Energy,Providing an accurate method for obtaining the efficiency of a photovoltaic solar module,"['method', 'dynamic study', 'temperature', 'power', 'optimization', 'genetic algorithm', 'experiment', 'mean bias error', 'performance', 'photovoltaic', 'experimental investigation', 'photovoltaic solar module', 'module', 'neural network', 'deep learning', 'correlation', 'performance evaluation', 'algorithm', 'machine learning', 'evaluation', 'efficiency', 'data', 'efficiency prediction', 'prediction', 'temperature effect', 'energy']",10.1016/j.renene.2020.04.072,0,0,1,1,1,0,0
Liu J.,2020,Renew. Energy,Field investigation and performance evaluation of sub-ambient radiative cooling in low latitude seaside,"['temperature', 'low latitude seaside', 'power', 'optimization', 'genetic algorithm', 'experiment', 'performance', 'perturb and observe', 'radiative cooling potential', 'model', 'performance evaluation', 'algorithm', 'cooling', 'modeling', 'sub-ambient radiative cooling', 'evaluation', 'irradiation']",10.1016/j.renene.2020.03.136,0,0,0,0,0,0,0
Hasanpour S.,2020,IEEE Trans Power Electron,Analysis and modeling of a new coupled-inductor buck-boost DC-DC converter for renewable energy applications,"['converter', 'power', 'output', 'small-signal modeling', 'low frequency', 'photovoltaic', 'aging', 'coupled-inductor', 'inductor', 'analysis', 'model', 'operatation', 'modeling', 'efficiency', 'quadratic buck-boost converter', 'system']",10.1109/TPEL.2019.2962325,0,0,0,0,0,0,0
Taghizadeh M.,2020,J. Energy Storage,Optimal operation of storage-based hybrid energy system considering market price uncertainty and peak demand management,"['fuzzy', 'method', 'power', 'renewable based hybrid energy system', 'optimization', 'genetic algorithm', 'uncertainty', 'performance', 'battery', 'weighted sum technique', 'photovoltaic', 'fuzzy method', 'simulation', 'model', 'multi-objective', 'demand response program', 'algorithm', 'operatation', 'modeling', 'hybrid', 'interval optimization technique', 'system', 'energy', 'grid']",10.1016/j.est.2020.101519,0,0,0,0,0,0,0
Bukhary S.,2020,J. Hydrol.,Water -energy -carbon nexus approach for sustainable large-scale drinking water treatment operation,"['optimization', 'genetic algorithm', 'energy consumption', 'performance', 'battery', 'solar energy', 'large-scale', 'system advisor model', 'analysis', 'model', 'algorithm', 'modeling', 'carbon', 'energy water nexus', 'data', 'carbon emission', 'system', 'drinking water treatment', 'management', 'energy', 'emission']",10.1016/j.jhydrol.2020.124953,0,0,0,0,0,0,0
Chang K.,2020,Atmos. Environ.,"Development of a solar radiation model considering the hourly sunshine duration for all-sky conditions – A case study for Beijing, China","['temperature', 'performance', 'building', 'photovoltaic', 'parameter', 'simulation', 'analysis', 'model', 'correlation', 'radiation', 'machine learning', 'modeling', 'irradiation', 'condition', 'all-sky condition', 'hourly solar radiation', 'hourly sunshine duration', 'thermal', 'system', 'regression']",10.1016/j.atmosenv.2020.117617,0,0,1,0,0,0,0
Fichera A.,2020,Energy Convers. Manage.,"From self-consumption to decentralized distribution among prosumers: A model including technological, operational and spatial issues","['method', 'power', 'optimization', 'genetic algorithm', 'characteristization', 'mean bias error', 'building', 'distribution', 'photovoltaic', 'neural network', 'deep learning', 'simulation', 'prosumers', 'analysis', 'model', 'algorithm', 'operatation', 'machine learning', 'modeling', 'carbon', 'agent based model', 'micro-cogeneration', 'photovoltaic panels', 'system', 'energy distribution', 'energy', 'grid']",10.1016/j.enconman.2020.112932,0,0,1,1,1,0,0
Zahedi R.,2020,Energy,"Power management for storage mechanisms including battery, supercapacitor, and hydrogen of autonomous hybrid green power system utilizing multiple optimally-designed fuzzy logic controllers","['reliability', 'fuzzy', 'power', 'renewable energy source', 'characteristization', 'fuzzy logic control', 'mean bias error', 'loss', 'power management', 'simulation', 'model', 'short-term', 'hydrogen', 'renewable energy', 'load', 'data', 'system', 'management', 'energy', 'mechanism', 'optimization', 'control', 'performance', 'battery', 'photovoltaic', 'fuzzy logic', 'long-term', 'wind', 'green', 'supercapacitor', 'algorithm', 'hybrid green power system', 'modeling', 'operatation', 'hybrid', 'design', 'fuel cell']",10.1016/j.energy.2020.117935,0,0,0,0,0,0,0
Barelli L.,2020,Energy,Comparative analysis of AC and DC bus configurations for flywheel-battery HESS integration in residential micro-grids,"['dynamic modeling', 'flywheel/battery', 'power', 'pid', 'renewable energy source', 'hybrid energy storage system', 'ESS', 'performance', 'distribution', 'battery', 'photovoltaic', 'ac bus', 'micro-grid', 'model', 'operatation', 'modeling', 'distributed generation', 'renewable energy', 'load', 'microgrid', 'hybrid', 'dc bus', 'system', 'energy', 'grid']",10.1016/j.energy.2020.117939,0,0,0,0,0,0,0
Verker R.,2020,Acta Astronaut,Ground testing of an on-orbit atomic oxygen flux and ionizing radiation dose sensor based on material degradation by the space environment,"['reliability', 'degradation', 'atomic oxygen', 'control', 'experiment', 'detection', 'coating', 'photovoltaic', 'aging', 'charging', 'material degradation', 'space environment', 'correlation', 'radiation', 'prediction', 'satellite', 'irradiation', 'data', 'design', 'thermal', 'measurement', 'ionizing radiation']",10.1016/j.actaastro.2020.04.065,0,0,0,0,0,0,0
Zhang Y.,2020,J. Energy Storage,Life Cycle Optimization of Renewable Energy Systems Configuration with Hybrid Battery/Hydrogen Storage: A Comparative Study,"['reliability', 'method', 'power', 'optimization', 'ESS', 'global optimization', 'battery', 'photovoltaic', 'long-term', 'hybrid renewable energy system', 'wind', 'heat', 'analysis', 'model', 'algorithm', 'operatation', 'economic evaluation', 'evaluation', 'hydrogen storage', 'renewable energy', 'load', 'hybrid', 'prediction', 'system', 'air', 'energy']",10.1016/j.est.2020.101470,0,0,0,0,0,0,0
Tanoto Y.,2020,Appl. Energy,"Clustering based assessment of cost, security and environmental tradeoffs with possible future electricity generation portfolios","['reliability', 'power', 'optimization', 'clusterining analysis', 'photovoltaic', 'generation portfolios', 'neural network', 'wind', 'deep learning', 'analysis', 'model', 'tradeoffs', 'algorithm', 'machine learning', 'electricity industry', 'modeling', 'clustering', 'system', 'energy trilemma', 'energy', 'policy']",10.1016/j.apenergy.2020.115219,0,0,1,1,1,0,0
Campione A.,2020,Energy Convers. Manage.,Coupling electrodialysis desalination with photovoltaic and wind energy systems for energy storage: Dynamic simulations and control strategy,"['power', 'optimization', 'renewable energy source', 'control', 'genetic algorithm', 'characteristization', 'time dependent', 'desalination', 'process control', 'photovoltaic', 'solar energy', 'wind', 'simulation', 'model', 'cogeneration', 'algorithm', 'operatation', 'modeling', 'renewable energy', 'hybrid', 'design', 'system', 'energy']",10.1016/j.enconman.2020.112940,0,0,0,0,0,0,0
Anagnostopoulos A.,2020,Energy,Finite element modelling of the thermal performance of salinity gradient solar ponds,"['reliability', 'method', 'optimization', 'numerical analysis', 'genetic algorithm', 'performance', 'solar energy', 'loss', 'simulation', 'heat', 'analysis', 'model', 'algorithm', 'solar pond', 'irradiation', 'finite element method', 'thermal', 'energy']",10.1016/j.energy.2020.117861,0,0,0,0,0,0,0
Jafari A.,2020,Appl. Energy,A fair electricity market strategy for energy management and reliability enhancement of islanded multi-microgrids,"['reliability', 'generator', 'method', 'power', 'market', 'renewable energy source', 'optimization', 'multi-microgrids', 'battery', 'electricity market', 'photovoltaic', 'wind', 'energy management', 'model', 'heat', 'algorithm', 'operatation', 'modeling', 'renewable energy', 'load', 'microgrid', 'grid', 'management', 'energy']",10.1016/j.apenergy.2020.115170,0,0,0,0,0,0,0
Li N.,2020,Sci. Total Environ.,Diatom evidence for mid-Holocene peatland water-table variations and their possible link to solar forcing,"['optimization', 'pid', 'output', 'genetic algorithm', 'mean bias error', 'peatland', 'GIS', 'water-table', 'analysis', 'model', 'correlation', 'algorithm', 'modeling', 'irradiation', 'data', 'east asian monsoon margin area', 'holocene', 'solar irradiation']",10.1016/j.scitotenv.2020.138272,0,0,0,0,0,0,0
Armakovic S.J.,2020,J. Hazard. Mater.,"Kinetics, mechanism and toxicity of intermediates of solar light induced photocatalytic degradation of pindolol: Experimental and computational modeling approach","['analysis', 'study of intermediates', 'mammalian cell lines', 'optimization', 'algorithm', 'genetic algorithm', 'mineralization', 'experiment', 'irradiation', 'photocatalysis', 'data', 'β-blocker', 'computational analysis', 'simulation']",10.1016/j.jhazmat.2020.122490,0,0,0,0,0,0,0
Mohamed-Kazim H.A.,2020,Comput Electr Eng,Efficient maximum power point tracking based on reweighted zero-attracting variable stepsize for grid interfaced photovoltaic systems,"['method', 'power', 'adaptive linear prediction filter', 'pid', 'output', 'sparse-aware', 'performance', 'photovoltaic', 'sparse-aware algorithm', 'perturb & observe method', 'MPP', 'mppt', 'MPPT', 'algorithm', 'solar photovoltaic array', 'time-varying stepsize algorithm', 'filter', 'prediction', 'system', 'grid']",10.1016/j.compeleceng.2020.106672,0,0,0,0,0,0,0
Schepel V.,2020,Renew. Energy,The Dutch PV portal 2.0: An online photovoltaic performance modeling environment for the Netherlands,"['database', 'online', 'temperature', 'performance', 'distribution', 'photovoltaic', 'photovoltaic system', 'online performance modeling', 'loss', 'large-scale', 'wind', 'analysis', 'model', 'real-time solar energy conversion', 'modeling', 'renewable energy', 'netherlands', 'meteorological data', 'efficiency', 'data', 'national solar electricity production', 'inverter', 'system', 'meteorology', 'energy']",10.1016/j.renene.2019.11.033,0,0,0,0,0,0,0
Radwan A.,2020,Energy Convers. Manage.,Thermal and electrical performances of semi-transparent photovoltaic glazing integrated with translucent vacuum insulation panel and vacuum glazing,"['3D', 'method', 'temperature', 'power', '3d', 'optimization', 'genetic algorithm', 'experiment', 'performance', 'photovoltaic', 'wind', 'indoor', 'thermal and electrical performances', 'model', 'heat', 'translucent vacuum insulation panel', 'algorithm', 'modeling', 'semi-transparent cdte photovoltaic', 'irradiation', 'finite volume modeling', 'vacuum glazing', 'cell', 'thermal', 'system', 'design']",10.1016/j.enconman.2020.112920,0,0,0,0,0,0,0
Evseev E.G.,2020,Renew. Energy,The extent to which a correlation between global irradiation and temperature developed for a single site can be applied to nearby sites: A case study for Israel,"['parameter', 'correlation', 'temperature', 'empirical equations', 'prediction', 'evaluation', 'evaluation of prediction accuracy', 'mean bias error', 'irradiation', 'data', 'design', 'system', 'global solar irradiation', 'dry bulb temperature']",10.1016/j.renene.2020.03.052,0,0,0,0,0,0,0
Statkic S.,2020,J. Build. Eng.,Adaptive neuro fuzzy selection of the most important factors for photovoltaic pumping system performance prediction,"['analysis', 'parameter', 'photovoltaic pumping system', 'fuzzy', 'prediction', 'control', 'output', 'anfis', 'performance', 'module', 'photovoltaic', 'loss', 'system', 'measurement', 'performance ratio']",10.1016/j.jobe.2020.101242,0,0,0,0,0,0,0
Abou-Ziyan H.,2020,Appl. Energy,Performance modeling and analysis of high-concentration multi-junction photovoltaics using advanced hybrid cooling systems,"['temperature', 'power', 'photovoltaic performance modeling', 'output', 'characteristization', 'electrical power correlations', 'performance', 'operating parameters', 'high concentration', 'photovoltaic', 'neural network', 'parameter', 'deep learning', 'simulation', 'heat', 'analysis', 'model', 'correlation', 'cooling', 'operatation', 'machine learning', 'modeling', 'prediction', 'irradiation', 'hybrid', 'high-concentration multi-junction photovoltaic', 'microchannels heat sink', 'design', 'thermal', 'system']",10.1016/j.apenergy.2020.115060,0,0,1,1,1,0,0
Cano A.,2020,Energy,Energy analysis and techno-economic assessment of a hybrid PV/HKT/BAT system using biomass gasifier: Cuenca-Ecuador case study,"['optimization', 'sensitivity analysis', 'control', 'modelling', 'energy control', 'genetic algorithm', 'battery', 'photovoltaic', 'charging', 'analysis', 'model', 'algorithm', 'modeling', 'load', 'hybrid', 'hybrid autonomous grid', 'system', 'energy', 'gasifier biomass', 'grid']",10.1016/j.energy.2020.117727,0,0,0,0,0,0,0
Wang S.,2020,Int J Electr Power Energy Syst,Interval optimization for integrated electrical and natural-gas systems with power to gas considering uncertainties,"['method', 'power', 'optimization', 'output', 'genetic algorithm', 'photovoltaic', 'integrated electrical and natural-gas system', 'wind', 'simulation', 'analysis', 'model', 'algorithm', 'interval optimization', 'operatation', 'uncertainties', 'system', 'power to gas']",10.1016/j.ijepes.2020.105906,0,0,0,0,0,0,0
Singh S.K.,2020,Renew. Energy,A visual-inertial system to determine accurate solar insolation and optimal PV panel orientation at a point and over an area,"['optimization', 'image', 'shading loss', 'viewshed', 'detection', 'solar insolation', 'photovoltaic', 'GIS', 'loss', 'large-scale', 'gis', 'analysis', 'model', 'algorithm', 'atmospheric loss', 'shadow', 'data', 'system']",10.1016/j.renene.2020.02.107,0,1,0,0,0,0,0
Obiwulu A.U.,2020,Renew. Energy,Modeling and optimization of back temperature models of mono-crystalline silicon modules with special focus on the effect of meteorological and geographical parameters on PV performance,"['temperature', 'optimization', 'experiment', 'performance', 'optimum tilt angles', 'photovoltaic', 'module', 'parameter', 'analysis', 'model', 'algorithm', 'module temperature coefficient', 'evaluation', 'mono-crystalline silicon pv', 'hybrid', 'Silicon', 'back temperature', 'data', 'orientation']",10.1016/j.renene.2020.02.103,0,0,0,0,0,0,0
